JournalID	Journal_Name	ISSN	Publisher	Webpage
139240842	Journal of Nuclear Medicine Technology	0091-4916		http://tech.snmjournals.org/
139597178	Listy Filologicke			
140928716	Precision Engineering-journal of The International Societies for Precision Engineering and Nanotechnology	0141-6359		
145743673	Journal of English for Academic Purposes	1475-1585		
148726610	Journal of Aerosol Medicine and Pulmonary Drug Delivery	1941-2711		
161366077	New Zealand Journal of History	0028-8322		
162117930	Contemporary Perspectives in Family Research	1530-3535		
163078014	British Journal of Guidance & Counselling	0306-9885		
164212335	Arab Studies Quarterly	0271-3519		
168277307	Epistemologia	0392-9760		http://www.dif.unige.it/epi/review.htm
169694011	Global Ecology and Biogeography	1466-822X		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1466-8238
170982493	Journal of Clinical Densitometry	1094-6950		
174019123	IEEE Transactions on Engineering Writing and Speech	0018-9405		
178238111	Mathematical Problems in Engineering	1024-123X		
179906512	Theoretical and Applied Fracture Mechanics	0167-8442		
180821644	Pediatric Critical Care Medicine	1529-7535		
181844767	Journal of Integrative Bioinformatics	1613-4516		
184466155	International Journal of Nanomanufacturing	1746-9392		
186731534	University of Pennsylvania Journal of Constitutional Law	1521-2823		http://www.pennjournalconlaw.com/
190942573	Mobilization	1086-671X		http://www.mobilization.sdsu.edu/
194297245	Computer Audit Update	0960-2593		
196366644	Annual Review of Physiology	0066-4278		
196879544	Molecular Urology	1091-5362		
205376447	Acta Chimica Sinica	0567-7351		
205877589	Nuovo Cimento Della Societa Italiana Di Fisica A-nuclei Particles and Fields			
207438450	Expert Reviews in Molecular Medicine	1462-3994		
943873383	Peckhamia	1944-8120		http://peckhamia.com/peckhamia.html
988156201	Studi Piemontesi	0392-7261		
993389578	Palaeontographica Abteilung A-palaozoologie-stratigraphie	0375-0442		
997569005	Theatre Research in Canada-recherches Theatrales Au Canada	1196-1198		
1001999377	International Gas Engineering and Management			
2477164297	IEEE Journal of Translational Engineering in Health and Medicine	2168-2372		
2597175965	arXiv: Computer Vision and Pattern Recognition			
2736309657	Boletim do Museu de Biologia Mello Leitão	0103-9121		
2736411279	Polish Botanical Journal	1641-8190		
2736736438	Environmental Stresses in Crop Sciences	2228-7604		
2737115538	Revista de Letras Norte@mentos	1983-8018		
2737136005	Munibe Ciencias Naturales	0214-7688		
2737431740	Econometrics	2225-1146		
2737630320	e-conservation Journal	2183-1335		
2737966377	Atlantic Review of Economics	2174-3835		
2738031195	Páginas			
2738120869	Sexualidad, Salud y Sociedad: Revista Latinoamericana			
2738248793	Revista Brasileira de Recursos Hídricos			
2738347192	Parole Rubate : Rivista Internazionale di Studi sulla Citazione	2039-0114		
2738352793	Revista Virtual de la Sociedad Paraguaya de Medicina Interna	2312-3893		
2738594227	Cuadernos de Economía			
2739150457	Conexões Culturais	2447-018X		
2739184106	Cirugía Cardiovascular	1134-0096		
2739295176	Arquipelago : Life and Marine Sciences			
2751117172	National Medical Journal of China	0376-2491		
2754147460	Maryland medical journal	0886-0572		
2754194036	Marseille médical	0025-4053		
2754213467	Československá patologie	1210-7875		
2754400875	Angewandte Parasitologie	0003-3162		
2754613715	Adolescent medicine (Philadelphia)			
2754844806	Journal of the Mount Sinai Hospital, New York	0099-9695		
2755459715	Anais do Instituto de Medicina Tropical	0365-3307		
2755631367	Global Journal of Health Science	1916-9736		
2755645565	Quintessence international, dental digest			
2755808581	EMS world	2158-7833		
2756436655	American journal of pharmacy and the sciences supporting public health	0002-9467		
2764347033	Multicultural Education	1068-3844		
2764352319	Unnes Journal of Mathematics Education Research	2502-4507		
2764352813	Vidyodaya Journal of Science	1800-1261		
2764367847	Nova Scotia Museum			
2764383705	Journal of the Mining and Metallurgical Institute of Japan	0369-4194		
2764385797	China Wood Industry	1001-8654		
2764386651	Journal of Optometric Education	0098-6917		
2764398874	Optical Fiber & Electric Cable and Their Applications			
2764419237	Natural product sciences	1226-3907		
2764421342	Journal of Studies in Technical Careers	0163-3252		
2764421793	Iranian Journal of Business and Economics			
2764428561	Journal of Public Health and Preventive Medicine			
2764429030	Polish Art Studies	0208-7243		
2764447643	District Administration	1537-5749		
2764468938	Nigerian Journal of Natural Products and Medicine	1118-6267		
2764482251	Journal of Combustion Science and Technology	1006-8740		
2764494850	The Indian Journal of Sleep Medicine	0973-340X		
2764518860	Annals of economics and statistics	2115-4430		
2764524227	JSSE - Journal of Social Science Education	1439-6246		
2764533006	Trends in polymer science	0966-4793		
2764540158	International Journal of Wellbeing	1179-8602		
2764550593	Research communications in psychology, psychiatry and behavior	0362-2428		
2764563077	Primary Education			
2764566763	Journal of Harbin Teachers College			
2764570021	Indian Journal of Mednodent and Allied Sciences	2347-6192		
2764602243	Prism: A Journal of the Center for Complex Operations	2157-0663		
2764602490	Environment and Pollution	1927-0909		
2764611464	Open journal of Discrete Mathematics	2161-7635		
2764619335	Ethics, Policy and Environment			
2764626366	Sustainable Development Law and Policy	1552-3721		
2764658692	Quintessence of dental technology	0362-0913		
2764659652	International Journal of Research in IT and Management			
2764660701	International Journal of Social and Economic Research			
2764664873	International Journal of Infection	2383-1413		
2764671737	Rhodes Journalism Review			
2764687577	Journal of the Oceanographical Society of Japan			
2764687747	TRRL TRANSLATION			
2764692450	Iranian journal of emergency medicine			
2764696291	Journal of the Sanitary Engineering Division	0044-7986		
2764699271	Jiangxi Forestry Science and Technology			
2764699801	Entwicklung and Landlicher Raum			
2764701300	Methods Archive			
2764710887	Technical report of IEICE. OME			
2764720785	Conservation Science in Cultural Heritage	1973-9494		
2764722508	Transactions of Japan Society of Spring Engineers	0385-6917		
2764729978	Chinese Journal of Medicinal Chemistry	1005-0108		
2764745674	Tyumen State University Herald. Humanities Research. Humanitates			
2764765344	Journal of Australian Native Plants Society			
2764793812	Land & Resources			
2764807442	Journal of Emotional and Behavioral Problems	1064-7023		
2764815606	Agriculture Network Information			
2764821307	Clinical preventive dentistry	0163-9633		
2764848207	SAARC Journal of Agriculture	1682-8348		
2764849277	Industrial Organization			
2764850660	Journal of Qingdao Technological University			
2764861614	Journal of Linyi University			
2764862224	Journal of Nanostructures	2251-7871		
2764865870	Environmental Technology and Innovation	2352-1864		
2764871307	Journal of Guangxi Institute of Technology			
2764876902	Acta pharmaceutica nordica	1100-1801		
2764890403	Applied Chemistry			
2764902616	Journal of Heilongjiang Institute of Science			
2764939664	STEAMBOAT BILL			
2764960828	Clinical excellence for nurse practitioners : the international journal of NPACE			
2764973561	The international sports law journal	1567-7559		
2764975496	Student Undergraduate Research E-journal			
2764976035	Banach Center Publications	0137-6934		
2764994656	Pain research and clinical management	0921-3287		
2764998356	Journal of Local History and Culture	1229-9286		
2765008179	Pediatric Dental Journal	0917-2394		
2765008484	Advances in Laser Science-I			
2765027305	Arterial’naya Gipertenziya			
2765033224	Explorations in Media Ecology	1539-7785		
2765045380	Journal of Molecular Science			
2765058173	Center for Comparative Immigration Studies			
2765063122	International journal of hematology-oncology and stem cell research	2008-2207		
2765073140	Journal of Communication and Computer	1548-7709		
2765076424	Writing on the edge	1064-6051		
2765078294	Journal of Shangrao Normal College			
2898213522	Philosophical Constructs for the Chiropractic Profession	2214-9163		https://www.sciencedirect.com/journal/philosophical-constructs-for-the-chiropractic-profession
2898246069	Revista Colombiana de Reumatología	0121-8123		https://www.journals.elsevier.com/revista-colombiana-de-reumatologia
2948509140	Meta: Translators' Journal	0026-0452	Les Presses de l’Université de Montréal	https://www.erudit.org/en/journals/meta/
4695008	International Review of Intellectual Property and Competition Law	0018-9855		http://www.ip.mpg.de/en/pub/publications/journals/iic.cfm
13669392	German Economic Review	1465-6485		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0475
18702314	Logos: Journal of The World Book Community			
20709540	Expert Opinion on Drug Safety	1474-0338		http://informahealthcare.com/journal/eds
22382660	Medicinal Research Reviews	0198-6325		
22607022	Food and Agricultural Immunology	0954-0105		
26862755	Performance Improvement Quarterly	0898-5952		
31465112	Journal of Anatomy	0021-8782		http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291469-7580
36555808	Current Topics in Developmental Biology	0070-2153		
37588179	Sociologie			
40982841	Bulletin of the American Schools of Oriental Research	0003-097X		http://www.asor.org/pubs/basor/index.html
42205570	Learning in Health and Social Care	1473-6853		
46539477	Nihon Gekakei Rengo Gakkaishi (journal of Japanese College of Surgeons)			
46544255	PLOS Neglected Tropical Diseases	1935-2727		http://www.plosntds.org/
54302288	Annali Italiani Di Chirurgia	0003-469X		
58812326	Revue De Geographie Alpine-journal of Alpine Research			
63023845	Journal of Radioanalytical and Nuclear Chemistry	0236-5731		http://www.springer.com/journal/10967
63410363	Basic and Applied Myology	1120-9992		
65792589	Progress in Nucleic Acid Research and Molecular Biology	0079-6603		
66393655	Journal of Fire Protection Engineering	1042-3915		http://jfe.sagepub.com/
68478772	Revista Direito Gv	1808-2432		
75832472	Journal of Social Psychology	0022-4545		http://www.tandfonline.com/action/journalInformation?journalCode=vsoc20
79038290	Journal for Research in Mathematics Education	0021-8251		http://www.nctm.org/publications/jrme.aspx
79415054	Psychologist	0952-8229		
84705137	Publications De L'institut Mathematique	0350-1302		
85589887	International Journal of Legal Medicine	0367-0031		
87230527	Journal of The Chemical Society-perkin Transactions 1			
91548813	The Global South	1932-8648		
92695244	Andamios	1870-0063		
95344940	Deutsche Zeitschrift für Philosophie	0012-1045		http://www.akademie-verlag.de/olb/de/1.c.335299.de/
95450724	Journal of Children and Poverty	1079-6126		
98169967	Gene Therapy and Molecular Biology	1529-9120		
99315931	Journal of Sulfur Chemistry	1741-5993		
101267242	American Communist History	1474-3892		http://www.tandfonline.com/rach
102250854	Journal of Contemporary Religion	1353-7903		http://www.tandfonline.com/cjcr
102916872	Oral Oncology	1368-8375		http://www.elsevier.com/wps/find/journaldescription.cws_home/105/description#description
104875562	Physics Letters A			
105204244	Texas Law Review	0040-4411		http://www.texaslrev.com/
107914479	University of Pennsylvania Law Review	0041-9907		http://www.pennlawreview.com/
108294569	Cirugia Y Cirujanos	0009-7411		
109194713	Focus on Powder Coatings	1364-5439		
111447645	The Review of Laser Engineering	0387-0200		
113184331	Scandinavian Studies	0036-5637		
113449338	Journal of Shanghai Jiaotong University (science)	1995-8188		
115196597	Jornal Brasileiro De Nefrologia			
118170198	Blumea	0006-5196		
119142761	Current Medicinal Chemistry - Cardiovascular & Hematological Agents			
120650898	IEEE Transactions on Aerospace and Navigational Electronics	0096-1957		
129123307	Croatian Journal of Forest Engineering	1845-5719		
129233233	Kidney			
130329595	Gamm-mitteilungen	0936-7195		
134585236	Space Policy	0265-9646		
136193619	International Journal of Media and Cultural Politics	1740-8296		
136263124	Neues Jahrbuch Fur Mineralogie-abhandlungen	0077-7757		
140275824	Fooyin Journal of Health Sciences	1877-8607		
143072383	RNA Biology	1547-6286		http://www.tandfonline.com/loi/krnb20
145553572	International Journal of General Systems	0308-1079		http://www.tandfonline.com/action/journalInformation?journalCode=ggen20
153169766	The Open Parasitology Journal			
154487680	Chemical Engineering & Technology	0930-7516		
155658104	Ecumene	0967-4608		
155971510	Neuro-Ophthalmology	0165-8107		http://www.informahealthcare.com/OPH
158751353	Journal of Transcultural Nursing	1043-6596		http://www.sagepub.com/journals/Journal200814/title
159239039	Cerevisia	1373-7163		
160934207	Journal of Engineering Mechanics-asce	0733-9399		
164077388	International Journal of Vehicular Technology	1687-5702		
164687667	Sprache & Kognition	0253-4533		
164751776	Journal of Chemical Research-s	0308-2342		
165300654	Opportunistic Pathogens	1386-2618		
168387291	Asian Journal of Management Cases	0972-8201		
168628147	Philosophical Books	0031-8051		
168826504	Black Music Research Journal	0276-3605		
169411308	Fuzzy Sets and Systems	0165-0114		
170832471	Fashion Practice: The Journal of Design, Creative Process & The Fashion Industr			
171971566	Convergencia-revista De Ciencias Sociales	1405-1435		
177107850	Gastroenterology Clinics of North America	0889-8553		
177566603	Ophthalmic Research	0030-3747		
177636448	Angle Orthodontist	0003-3219		
181273861	Resistance Studies Magazine	1654-7063		
184932276	Asia Pacific Education Review	1598-1037		
185092187	Journal of The Japan Epilepsy Society	0912-0890		
186823356	Energy for Sustainable Development	2352-4669		
193040567	Communication Methods and Measures	1931-2458		
193475107	Hyperfine Interactions	0304-3843		
194044894	International Journal of Theoretical Physics	0020-7748		http://www.springerlink.com/content/1572-9575/
195297104	Organizational Dynamics	0090-2616		
196498761	Drying Technology	0737-3937		
196895796	Cineforum	0009-7039		
203303425	Cancer Immunology, Immunotherapy	0340-7004		http://www.springer.com/medicine/oncology/journal/262
203549655	Discrete Optimization	1572-5286		
940600532	Kwartalnik Historii Zydow-jewish History Quarterly			
940616071	Early Modern Women-an Interdisciplinary Journal	1933-0065		
982029923	Synthesis Lectures on Data Management	2153-5418		
2488537894	IEEE Transactions on Cognitive and Developmental Systems	2379-8920		
2595899084	arXiv: Human-Computer Interaction			
2736459969	Badebec	1853-9580		
2736487386	Interventions Économiques pour une Alternative Sociale	0715-3570		
2736741801	Barents Studies: Peoples, Economies and Politics	2324-0652		
2736756823	Trendovi u Poslovanju	2334-816X		
2737246436	Indonesian Journal of Islam and Muslim Societies	2089-1490		
2737251451	Management Science Letters	1923-9335		
2737512014	International Journal of Neonatal Screening	2409-515X		
2737731412	Journal of University of Babylon	2312-8135		
2737985625	Strenae	2109-9081		
2737987524	Moravian Geographical Reports	1210-8812		
2737992640	Pizhūhishnāmah-i Iqtiṣād-i Inirzhī-i Īrān			
2738292967	Studia Aurea: Revista de Literatura Española y Teoría Literaria del Renacimiento y Siglo de Oro	1988-1088		
2738458479	Revista Internacional de Organizaciones	1886-4171		
2754542432	Der Krebsarzt	0368-6698		
2754730515	Leprosy in India	0024-1024		
2755041992	The Journal of the New York State Nurses' Association	0028-7644		
2755162016	Annali di stomatologia	1824-0852		
2755213372	Kísérletes orvostudomány	0023-1878		
2755483317	Archives d'anatomie et de cytologie pathologiques	0395-501X		
2755996389	Journal of Christian nursing : a quarterly publication of Nurses Christian Fellowship			
2764358635	Journal of Health in the Field	2383-1375		
2764378755	Journal of Agricultural Science and Environment	2277-0755		
2764380584	WIT Transactions on Information and Communication Technologies	1743-3517		
2764385097	Studies in Polymer Science	0922-5579		
2764394099	Indian Journal of Youth and Adolescent Health	2349-2880		
2764405725	Bulletin of the National Science Museum. Series C, Geology & paleontology	0385-244X		
2764409723	Journal of Education Institute of Taiyuan University			
2764420508	New directions	1881-0349		
2764431435	ELECTRONICS - CONSTRUCTIONS, TECHNOLOGIES, APPLICATIONS			
2764433534	The Canadian Journal of Regional Science	0705-4580		
2764440303	Ilha do Desterro: A Journal of English Language, Literatures in English and Cultural Studies	0101-4846		
2764443717	English Language Teaching Journal			
2764470259	Asian Journal of Education	1229-9448		
2764473609	Journal Os Southern Institute of Metallurgy			
2764477558	International journal of multicriteria decision making	2040-106X		
2764485423	Journal of the Malacological Society of Australia	0085-2988		
2764494681	Austrian Journal of Technical and Natural Sciences	2310-5607		
2764498497	The Journal of Clinical and Scientific Research			
2764513707	Qualitative Research in Sport, Exercise and Health	2159-676X		
2764537523	Yunnan Journal of Traditional Chinese Medicine and Materia Medica			
2764547726	Reports of the National Academy of Sciences of Ukraine	1025-6415		
2764553205	Bulletin of Science and Technology			
2764559428	Open Journal of Physical Chemistry			
2764561923	Advances in Animal Biosciences	2040-4700		
2764574283	Journal of the Philosophy of Sport and Physical Education	0915-5104		
2764579542	Biomedical fuzzy and human sciences : the official journal of the Biomedical Fuzzy Systems Association			
2764584009	Bulletin of the British Museum of Natural History			
2764591912	Journal of Northwest Semitic Languages	0259-0131		
2764595383	Agricultural Science&Technology and Equipment			
2764596401	Journal of KONES. Powertrain and Transport			
2764633459	International Journal of Advanced Research in Computer Science and Electronics Engineering	2277-9043		
2764634893	Media Spectrum			
2764634936	Design for Arts in Education	0732-0973		
2764636984	Geriatrics & Health Care			
2764643833	croatian journal of infection	1331-2820		
2764647449	Ceylon Veterinary Journal			
2764661299	International Journal of Dental Sciences and Research	2333-1135		
2764682271	Selektsiya i semenovodstvo			
2764698868	The Japanese journal of nursing arts	0449-752X		
2764699570	Journal of South China Normal University			
2764712249	Reclaiming Children and Youth			
2764720961	Gateways: International Journal of Community Research and Engagement	1836-3393		
2764723761	Iranian Journal of Health and Environment	2008-2029		
2764757655	Journal of the Phonetic Society of Japan	1342-8675		
2764762630	Journal of the American College of Toxicology	0730-0913		
2764764886	Journal of the Surveying and Mapping Division	0569-8073		
2764766889	China Ceramics			
2764787957	Oklahoma Politics	1065-0695		
2764788834	Fundamental Toxicological Sciences	2189-115X		
2764789317	Electro-optics & Passive Countermeasures			
2764805634	THE JOURNAL OF THE ACADEMY OF CLINICAL DENTISTRY			
2764809114	Far East Journal of Mathematical Sciences	0972-0871		
2764818706	Journal of Wenzhou Medical College			
2764826912	Logistics Engineering and Management			
2764854513	Frontiers of entrepreneurship research	0740-7416		
2764857267	Lens and eye toxicity research	1042-6922		
2764862412	Journal of Sustainable Agriculture and the Environment	1119-8152		
2764862620	Nottingham medieval studies	0078-2122		
2764864648	Chinese Journal of Medical Imaging	1005-5185		
2764865924	New Zealand journal of experimental agriculture	0301-5521		
2764904776	American Journal of Civil Engineering and Architecture	2328-3998		
2764908727	Commercial Research			
2764908868	Current health sciences journal	2067-0656		
2764912600	RSSI. Recherches sémiotiques. Semiotic inquiry	0229-8651		
2764917640	Journal of Conflictology	2013-8857		
2764926044	Medical Equipment			
2764929533	South Asian journal of management	0971-5428		
2764942765	The British journal of cancer. Supplement	0306-9443		
2764955527	Guihai Tribune			
2764957945	Journal of Yanbei Teachers College			
2764979606	IET electrical systems in transportation	2042-9738		
2764983339	Hebei Journal of Traditional Chinese Medicine			
2764990517	Occupational Safety – Science and Practice			
2765000448	Journal of Research in National Development	1596-8308		
2765014693	The Journal of the Herpetological Association of Rhodesia			
2765016914	The Educational record	0013-1873		
2765034920	GEC journal of research	0264-9187		
2765035900	Medical journal of Osaka University	0030-6169		
2765038440	Journal of Guangdong Ocean University			
2765052175	International Journal of Data Mining & Knowledge Management Process	2230-9608		
2765057867	Cell & developmental biology	2168-9296		
2765070658	Today's Education	0734-7219		
2765070926	Journal of Modern Clinical Medical Bioengineering	1008-634X		
2898488464	Journal of Clinical Tuberculosis and Other Mycobacterial Diseases	2405-5794		https://www.journals.elsevier.com/journal-of-clinical-tuberculosis-and-other-mycobacterial-diseases
2920963920	arXiv: Signal Processing			
3035521369	Egyptian Journal of Neurosurgery	1687-5982		https://EJNS.springeropen.com
2010360	Public Relations Inquiry	2046-147X		
4913226	The Kips Transactions:partb			
7391137	Gerokomos	1134-928X		
8329894	Child and Adolescent Mental Health	1475-357X		
11693765	Nonlinear Biomedical Physics	1753-4631		
14583120	Aids Patient Care and Stds	1087-2914		
19162248	Forensic Linguistics-the International Journal of Speech Language and The Law			
19681352	Journal of Low Power Electronics	1546-1998		
24859740	Monographs of The Society for Research in Child Development	0037-976X		
29661429	Journal of Marine Science and Technology			
30054516	Twin Research	1832-4274		
30933843	Alternatives: Global, Local, Political	0304-3754		http://www.csds.in/index.php/
35392927	Disease Markers	0278-0240		
38029698	Small Wars & Insurgencies			
44433209	Latin American Perspectives	0094-582X		http://www.latinamericanperspectives.com/
46216125	Medecine Et Chirurgie Du Pied			
55497336	International Angiology	0392-9590		http://www.minervamedica.it/en/journals/international-angiology
58769659	Sport Education and Society	1357-3322		
60214879	Alberta Journal of Educational Research	0002-4805		
60379886	ACM Sigarch Computer Architecture News			
64104838	Journal of Electroceramics	1385-3449		http://www.springer.com/materials/optical+%26+electronic+materials/journal/10832
68409214	Social Theory and Practice	0037-802X		http://www.pdcnet.org/soctheory
70695507	Nonlinear Analysis-theory Methods & Applications	0362-546X		
74100341	Opto-electronics Review	1230-3402		
74408252	Microscopy Today	1551-9295		
75458007	Journal of Microcomputer Applications	0745-7138		
80523760	Archives of Ophthalmology	0003-9950		
80922315	Journal of The World Aquaculture Society			
85442508	Research Journal of Parasitology	1816-4943		
91749377	Transboundary and Emerging Diseases	1865-1674		
96739853	Acta Geologica Polonica	0001-5709		
97006712	International Journal of Molecular Medicine and Advance Sciences			
98437390	Neurosurgical Review	0344-5607		
102275522	Journal of The American College of Nutrition	0731-5724		
106555721	Behavioral Disorders	0198-7429		
109719883	European Review for Medical and Pharmacological Sciences	1128-3602		http://www.europeanreview.org/
110757056	Journal of Laryngology and Otology	0022-2151		
111393402	Power and Education	1757-7438		
111828274	P-adic Numbers, Ultrametric Analysis, and Applications	2070-0466		
113184965	Deviant Behavior	0163-9625		
114265899	Memory & Cognition	0090-502X		
118162903	Reviews in Mathematical Physics	0129-055X		http://www.worldscinet.com/rmp/rmp.shtml
119844295	International Journal of Numerical Analysis and Modeling	1705-5105		
121645359	Acta Crystallographica	2053-2733		http://journals.iucr.org/
122855400	Comparative Literature	0010-4124		
124084054	Acta Metallurgica Sinica (english Letters)	1006-7191		
124335317	The Open Complementary Medicine Journal	1876-391X		
130536152	Cellulose	0969-0239		
131318974	Journal of Applied Spectroscopy	0021-9037		
132954302	Literature-film Quarterly	0090-4260		
139179957	Sigact News			
140231038	Politikon	0258-9346		
141308946	Carpathian Journal of Earth and Environmental Sciences	1842-4090		
145755630	Theology Digest	0040-5728		
146856077	Vascular Surgery	0042-2835		
146960544	Brazilian Journal of Infectious Diseases	1413-8670		
148595626	Journal of Toxicological Sciences	0388-1350		
149937609	Chemical Engineering Journal	1385-8947		
150031133	CytoJournal	1742-6413		http://www.cytojournal.com/
150739081	Sciences Et Techniques De L Animal De Laboratoire			
153861934	Journal of Marketing Education	0273-4753		http://www.uk.sagepub.com/journals/Journal200864/title
156058904	Academic Psychiatry	1042-9670		
158688538	Advances in Pediatrics	0065-3101		
158706580	New Ideas in Psychology	0732-118X		
158809845	International Journal of Nanoparticles	1753-2507		
160362754	European Journal of Medical Genetics	1769-7212		
160879026	Journal of Psychiatric Research	0022-3956		
162199860	Journal of Beliefs & Values-studies in Religion & Education	1361-7672		
164611413	Anesthesia Progress	0003-3006		
165151903	High Performance Polymers	0954-0083		http://www.sagepub.com/journals/Journal201635/title
165401249	Journal of Theoretical and Computational Chemistry	0219-6336		http://www.worldscinet.com/jtcc/jtcc.shtml
166779601	Zeitschrift Fur Religions-und Geistesgeschichte	0044-3441		
166852190	Polymer Reviews	1558-3716		
167709542	Actas Espanolas De Psiquiatria	1139-9287		
167829764	Environmental Impact Assessment Review	0195-9255		
170139714	Construction Innovation: Information, Process, Management	1471-4175		
172093770	Hepatitis Research and Treatment	2090-1364		
172180718	Biometrika	0006-3444		http://biomet.oupjournals.org/
175030738	Neuropsychopharmacology	0893-133X		
179928794	Journal of Nursing and Healthcare of Chronic Illness	1752-9816		
185573540	International Journal of Stomatology & Occlusion Medicine	1867-2221		
185853653	Current Opinion in Nephrology and Hypertension	1062-4821		
186215666	Addictive Behaviors	0306-4603		
186726920	Culture, Society and Masculinities	1941-5583		http://www.mensstudies.info/OJS/index.php/CSM
188216929	Rivista Italiana Di Musicologia	0035-6867		
188962457	Interdisciplinary Sciences: Computational Life Sciences	1867-1462		
189576285	International Journal of Network Security	1816-353X		
193386727	Journal of The American Association for Laboratory Animal Science	1559-6109		
197016887	Aktuelle Urologie	0001-7868		
200677871	Logiciel, Base De Données, Réseaux \/ Software, Databases, Networks			
202230965	The National Medical Journal of India	0970-258X		http://www.nmji.in/
205918948	International Journal of Electronic Business	1470-6067		
205957783	Reactive & Functional Polymers	1381-5148		
207349855	Australian Prescriber	0312-8008		
207580891	Disease Management & Health Outcomes	1173-8790		
207859457	Military Medicine	0026-4075		http://www.amsus.org/index.php/journal
975748716	Anasthesiologie & Intensivmedizin	0170-5334		
979202222	Frauenheilkunde Aktuell			
982507924	Hungarian Quarterly	0028-5390		
989140491	Klinik Psikofarmakoloji Bulteni-bulletin of Clinical Psychopharmacology	1302-9657		
990805543	Mother Tongue	1087-0326		
2477089890	Rural and Remote Health	1445-6354		
2481706592	CardioRenal Medicine	1664-5502		
2487249032	Revista Internacional de Andrologia	1698-031X		
2489440031	Nucleic Acid Therapeutics	2159-3337		
2494179437	Biomaterials Science	2047-4830		
2495644771	Journal of Water Sanitation and Hygiene for Development	2043-9083		
2736318790	Asia Pacific Journal on Computational Engineering	2196-1166		
2736388092	Ankara Araştırmaları Dergisi	2147-8724		
2736441819	Franciscanum	0120-1468		
2736507771	Acervo	0102-700X		
2737028251	Borealis: An International Journal of Hispanic Linguistics	1893-3211		
2737140281	Revista de Educação e Pesquisa em Contabilidade	1981-8610		
2737210294	European Medical Journal Gastroenterology	2054-6203		
2737386756	Open Praxis	1369-9997		
2737471100	Ufuq-i Dānish	1735-1855		
2737505774	Revue Internationale de Politique de Développement	1663-9375		
2737559645	Gels	2310-2861		
2737564675	Saúde e Meio Ambiente: Revista Interdisciplinar			
2737699940	Selçuk Üniversitesi Edebiyat Fakültesi Dergisi	1300-4921		
2737849888	Folia Horticulturae	0867-1761		
2737990715	Stanford Encyclopedia of Philosophy	1095-5054		
2738114665	Canadian Journal of Educational Communication	0710-4340		
2738401929	Linguistica e Filologia	1594-6517		
2738435600	Cuadernos de Neuropsicologia	0718-4123		
